 Experiment N , 100 ,,,,,,,,, bin N ,1000,,aliali,,,,,,,,
,,,,,,,,,,,, 15 ,,,,,,,,,
"""2_DNN_3_None""","""2_Hyperheuristic_3_None""","""5_DNN_3_None""","""5_Hyperheuristic_3_None""","""2_DNN_3_DTS""","""2_Hyperheuristic_3_DTS""","""5_DNN_3_DTS""","""5_Hyperheuristic_3_DTS""",Decima,,,, 429 ," ""2_DNN_3_None"" "," ""2_Hyperheuristic_3_None"" "," ""5_DNN_3_None"" "," ""5_Hyperheuristic_3_None"" "," ""2_DNN_3_DTS"" "," ""2_Hyperheuristic_3_DTS"" "," ""5_DNN_3_DTS"" "," ""5_Hyperheuristic_3_DTS"" ", Decima 
,,,,,,,,,,, 126 , 67 ,100%,45%,100%,55%,96%,56%,97%,52%,100%
,,,,,,,,,,, 127 , 68 ,100%,46%,100%,56%,96%,56%,97%,52%,100%
,,,,,,,,,,, 128 , 68 ,100%,47%,100%,56%,96%,56%,97%,52%,100%
,,,,,,,,,,, 129 , 69 ,100%,48%,100%,57%,96%,56%,97%,52%,100%
,,,,,,,,,,, 130 , 69 ,100%,48%,100%,57%,96%,56%,97%,52%,100%
,,,,,,,,,,, 131 , 70 ,100%,49%,100%,58%,96%,56%,97%,52%,100%
,,,,,,,,,,, 132 , 70 ,100%,49%,100%,58%,96%,56%,97%,52%,100%
,,,,,,,,,,, 133 , 70 ,100%,49%,100%,58%,96%,56%,97%,52%,100%
,,,,,,,,,,, 134 , 71 ,100%,50%,100%,58%,96%,56%,97%,52%,100%
,,,,,,,,,,, 135 , 71 ,100%,50%,100%,59%,96%,56%,97%,52%,100%
,,,,,,,,,,, 136 , 72 ,100%,50%,100%,59%,96%,56%,97%,52%,100%
,,,,,,,,,,, 137 , 72 ,100%,50%,100%,60%,96%,57%,97%,52%,100%
,,,,,,,,,,, 138 , 72 ,100%,51%,100%,60%,96%,57%,97%,52%,100%
,,,,,,,,,,, 139 , 73 ,100%,52%,100%,60%,96%,57%,97%,52%,100%
